id,name,team,classic,roles,price,initialPrice,fvm,fvmMantra,diff,diffMantra,classicMarketPrice,mantraMarketPrice,season,source
7560,Pisseri,Frosinone,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
3,Radunovic,Cagliari,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
4957,Montipò,Venezia,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
4468,Bleve,Lecce,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
7603,Grabara,Juventus,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
7611,Mrozek,Udinese,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
2874,Ghidotti,Parma,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
7626,Pompei,Atalanta,P,Por,1,1,1,1,0,0,1,1,2026/27,Fantacalcio.it
254,Dimarco,Inter,D,E|W,30,32,250,250,-2,-1,29,30,2026/27,Fantacalcio.it
7181,Wesley,Roma,D,E,18,17,87,87,1,0,16,16,2026/27,Fantacalcio.it
4998,Molina N.,Roma,D,E,18,18,63,63,0,0,18,18,2026/27,Fantacalcio.it
2788,Bremer,Juventus,D,Dc,16,15,56,56,1,1,16,15,2026/27,Fantacalcio.it
4159,Akanji,Inter,D,Dc,15,16,41,41,-1,-1,15,16,2026/27,Fantacalcio.it
2296,Mancini,Roma,D,Dc,15,15,54,54,0,0,15,15,2026/27,Fantacalcio.it
2120,Bastoni,Inter,D,Dc,14,14,42,42,0,0,14,14,2026/27,Fantacalcio.it
4409,Rrahmani,Napoli,D,Dc,14,14,51,51,0,0,14,14,2026/27,Fantacalcio.it
4976,Kalulu,Juventus,D,Dd|Dc,13,13,42,44,0,0,14,14,2026/27,Fantacalcio.it
5022,Pavlovic,Milan,D,Dc,13,14,43,43,-1,-1,13,14,2026/27,Fantacalcio.it
6956,Solet,Udinese,D,Dc,13,13,35,35,0,0,13,13,2026/27,Fantacalcio.it
6869,Ramon,Como,D,Dc,12,10,35,35,2,2,12,10,2026/27,Fantacalcio.it
6217,Bisseck,Inter,D,Dc,12,11,36,36,1,1,12,11,2026/27,Fantacalcio.it
2514,Stones,Inter,D,Dc,12,12,19,19,0,0,12,12,2026/27,Fantacalcio.it
5833,Gila,Milan,D,Dc,12,12,29,29,0,0,12,12,2026/27,Fantacalcio.it
2816,Di Lorenzo,Napoli,D,Dd|E,12,12,37,37,0,0,12,12,2026/27,Fantacalcio.it
4317,N'Dicka,Roma,D,Dc,12,13,37,37,-1,-1,12,13,2026/27,Fantacalcio.it
4807,Hermoso,Roma,D,Dc,11,10,34,34,1,1,11,10,2026/27,Fantacalcio.it
5982,Spence,Inter,D,E,11,12,23,23,-1,-1,10,11,2026/27,Fantacalcio.it
5526,Scalvini,Atalanta,D,Dc,10,10,25,25,0,0,10,10,2026/27,Fantacalcio.it
5750,Ostigard,Genoa,D,Dc,10,11,32,32,-1,-1,10,11,2026/27,Fantacalcio.it
5641,Chalobah T.,Como,D,Dd|Dc,10,9,28,30,1,1,11,10,2026/27,Fantacalcio.it
5885,Dodò,Fiorentina,D,Dd|E,9,10,16,16,-1,-1,9,10,2026/27,Fantacalcio.it
5514,Vasquez,Genoa,D,Ds|Dc,9,9,30,33,0,0,10,10,2026/27,Fantacalcio.it
5877,Carlos Augusto,Inter,D,B|Ds|E,9,7,25,25,2,2,10,8,2026/27,Fantacalcio.it
6989,Tiago Gabriel,Lecce,D,Dc,9,7,23,23,2,2,9,7,2026/27,Fantacalcio.it
7485,Mangas,Monza,D,Ds|E,9,6,25,25,3,3,9,6,2026/27,Fantacalcio.it
